ERR1912976.39619__1.39619	1965604__A0A1Y4ERL1__B5F54_16810
ERR1912976.39682__1.39682	817__F7LJ34__M100_4716
ERR1912976.39699__1.39699	821__A0A3E4KIM1__M097_3660
ERR1912976.39713__1.39713	821__A0A396F1N0__M099_1553
ERR1912976.39885__1.39885	818__A0A174TXD9__C799_03229
ERR1912976.40103__1.40103	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.40116__1.40116	78535__E6J2B6__hsdS1
ERR1912976.40260__1.40260	818__Q8A3A6__Btheta7330_00071
ERR1912976.40469__1.40469	39485__C4Z0S8__hisK
ERR1912976.40716__1.40716	39485__C4Z389__ERS852490_01920
ERR1912976.40719__1.40719	33038__A0A2N5NTT9__ERS852409_01418
ERR1912976.40862__1.40862	821__A6L0C7__ERS852556_03520
ERR1912976.40877__1.40877	40519__U2MCQ8__RUMCAL_00556
ERR1912976.41193__1.41193	1262921__R5MG79__BN473_00711
ERR1912976.41592__1.41592	2292352__A0A374UJE7__DXC23_11305
ERR1912976.41800__1.41800	31971__R7G5A8__EUBDOL_00338
ERR1912976.41916__1.41916	39485__A0A174ZPJ9__tig_2
ERR1912976.41887__1.41887	329854__R5MLZ7__DXD27_15500
ERR1912976.42194__1.42194	28116__A0A139L6N6__HMPREF2532_02529
ERR1912976.42243__1.42243	28052__R7N8Y9__macB_4
ERR1912976.42548__1.42548	301301__A0A395V8V6__RHOM_04915
ERR1912976.42579__1.42579	1263076__GCA_000437615.1_00118
ERR1912976.42883__1.42883	360807__A0A0M6WWU2__ERS852392_02262
ERR1912976.42888__1.42888	820__A0A3E4PYB0__yejM
ERR1912976.42952__1.42952	1263076__GCA_000437615.1_00079
ERR1912976.43176__1.43176	820__A0A139KH21__DXC80_01780
ERR1912976.43285__1.43285	39485__A0A174ZQT9__EUBELI_20278
ERR1912976.43556__1.43556	39485__C4Z355__ERS852490_01971
ERR1912976.43613__1.43613	29361__B6FRT6__CLONEX_02860
ERR1912976.43650__1.43650	1263000__R5ENT6__BN466_00877
ERR1912976.43877__1.43877	1150298__A0A174GJF6__bglX_2
ERR1912976.43892__1.43892	10868__GeneID:1261859
ERR1912976.43947__1.43947	293939__A0A0S7DXK2__ALT_7486
ERR1912976.44076__1.44076	360807__C0FPV8__RIL183_29891
ERR1912976.44147__1.44147	360807__C0FVL1__ERS852392_00394
